Data,Dia da Semana,Materia,Sala,Plano de Aula
12/12/2022,Segunda,Fundamentos Da Teoria,M011,As Classes de Problemas NP-Completa e NP-Difícil. Exemplos de Problemas da classe NP-Completo.
13/12/2022,Terça,Eletronica A,I010,Resolução da prova. Atividade prática: exercícios.
14/12/2022,Quarta,Variaveis Complexas,M005,Aniverário de Pato Branco
14/12/2022,Quarta,Fundamentos Da Teoria,M011,Aniverário de Pato Branco
14/12/2022,Quarta,Banco de Dados,V104,Aniverário de Pato Branco
15/12/2022,Quinta,Sistemas Lineares,V106,Aula de dúvidas para avaliação de recuperação.
15/12/2022,Quinta,Eletronica A,L106,Atividade de recuperação do aproveitamento acadêmico segundo §4.º do Art. 35 do Regulamento da Organização Didático-Pedagógica dos Cursos de Graduação da UTFPR.
16/12/2022,Sexta,Banco de Dados,V104,"Oficina de integração com Banco de Dados: Definição, design e implementação de um processo fabril envolvendo a coleta e a manipulação de dados usando um sistema supervisório. Configuração de fontes e pontos de dados. Tipagem. Coleta e armazenamento dos dados."
19/12/2022,Segunda,Variaveis Complexas,M005,Atividade de recuperação do aproveitamento acadêmico segundo § 4.º do Art. 35 do Regulamento da Organização Didático-Pedagógica dos Cursos de* Graduação da UTFPR
19/12/2022,Segunda,Sistemas Lineares,V106,Média Final
19/12/2022,Segunda,Sistemas Lineares,V106,AVALIAÇÃO DE RECUPERAÇÃO: Atividade de recuperação do aproveitamento acadêmico segundo § 4.º do Art. 35 do Regulamento da Organização Didático-Pedagógica dos Cursos de Graduação da UTFPR.
19/12/2022,Segunda,Gestão De projeto,V106,Aula para realização do seminário.
19/12/2022,Segunda,Fundamentos Da Teoria,M011,Revisão prova 3
20/12/2022,Terça,Eletronica A,I010,Transistores de potência e aplicações* Atividade prática: exercícios.
21/12/2022,Quarta,Variaveis Complexas,M005,Entrega de Notas Finais.
21/12/2022,Quarta,Fundamentos Da Teoria,M011,Avaliação
21/12/2022,Quarta,Fundamentos Da Teoria,M011,Prova 3
21/12/2022,Quarta,Banco de Dados,V104,"Exploração de um banco de dados real. Compreensão da estrutura do banco. Consultas SQL. Introdução às views, functions e stored procedures."
